Dataset,Retriever,Recall@5,MRR,model,input_text,true_label,model_output,correct
nq_toy,BM25,0.13,0.07116666666666666,,,,,
nq_toy,Dense,0.47,0.3373333333333333,,,,,
beir_toy,BM25,0.09,0.034333333333333334,,,,,
beir_toy,Dense,0.15,0.06849999999999999,,,,,
nq,BM25,0.068,0.053483333333333334,,,,,
nq,Dense,0.282,0.19996666666666668,,,,,
beir,BM25,0.017917950381060484,0.013356034808929246,,,,,
beir,Dense,0.018809794065185667,0.013745202962002054,,,,,
Dataset,Retriever,Recall@5,MRR,,,,,
nq_toy,BM25,0.13,0.07116666666666666,,,,,
nq_toy,Dense,0.6,0.39,,,,,
beir_toy,BM25,0.09,0.034333333333333334,,,,,
beir_toy,Dense,0.14,0.0665,,,,,
nq,BM25,0.068,0.053483333333333334,,,,,
nq,Dense,0.301,0.20118333333333333,,,,,
beir,BM25,0.017917950381060484,0.013356034808929246,,,,,
beir,Dense,0.01751256688827631,0.013074968920598888,,,,,
