Dataset,Retriever,Recall@5,MRR
nq_toy,BM25,0.13,0.07116666666666666
nq_toy,Dense,0.47,0.3373333333333333
beir_toy,BM25,0.09,0.034333333333333334
beir_toy,Dense,0.15,0.06849999999999999
nq,BM25,0.068,0.053483333333333334
nq,Dense,0.282,0.19996666666666668
beir,BM25,0.017917950381060484,0.013356034808929246
beir,Dense,0.018809794065185667,0.013745202962002054
Dataset,Retriever,Recall@5,MRR
nq_toy,BM25,0.13,0.07116666666666666
nq_toy,Dense,0.6,0.39
beir_toy,BM25,0.09,0.034333333333333334
beir_toy,Dense,0.14,0.0665
nq,BM25,0.068,0.053483333333333334
nq,Dense,0.301,0.20118333333333333
beir,BM25,0.017917950381060484,0.013356034808929246
beir,Dense,0.01751256688827631,0.013074968920598888
Retriever,Recall@5,MRR,ASR,ASR_Samples
BM25,0.07,0.05493333333333333,0.0,33
Dense (clean),0.268,0.18095,0.06060606060606061,33
Dense (poisoned),0.323,0.2197333333333333,0.09090909090909091,33
Retriever,Recall@5,MRR,ASR,ASR_Samples
BM25,0.07,0.05631666666666667,0.0,69
Dense (clean),0.259,0.17575,0.10144927536231885,69
Dense (poisoned),0.319,0.21506666666666666,0.07246376811594203,69
Retriever,Recall@5,MRR,ASR,ASR_Samples
BM25,0.075,0.05868333333333333,0.0,139
Dense (clean),0.256,0.17873333333333333,0.02877697841726619,139
Dense (poisoned),0.327,0.21778333333333333,0.06474820143884892,139
Retriever,Recall@5,MRR,ASR,ASR_Samples
BM25,0.071,0.058616666666666664,0.010526315789473684,190
Dense (clean),0.256,0.17531666666666668,0.05263157894736842,190
Dense (poisoned),0.318,0.21205000000000002,0.06842105263157895,190
Retriever,Recall@5,MRR,ASR,ASR_Samples
BM25 + ZKIP,0.07,0.05631666666666667,0.0,69
Dense (clean) + ZKIP,0.259,0.17575,0.0,69
Dense (poisoned) + ZKIP,0.314,0.21493333333333334,0.0,69
Retriever,Recall@5,MRR,ASR,ASR_Samples
BM25,0.01735041349116264,0.013056051024268957,0.0012285012285012285,814
Dense (clean),0.021323171720447544,0.015473487919571914,0.007371007371007371,814
Dense (poisoned),0.017431490189719474,0.013134425166207232,0.004914004914004914,814
Retriever,Recall@5,MRR,ASR,ASR_Samples
BM25,0.016377493108480624,0.01285335927787687,0.0,2481
Dense (clean),0.020674558131992864,0.01529782173936544,0.007658202337767029,2481
Dense (poisoned),0.017107183395492137,0.013111453434949462,0.0068520757758968156,2481
